subject_id,rt,pair,target_index,t,is_predictable,subject_condition
43,669,1,1,1,0,1
43,580,1,2,1,1,1
43,506,2,3,1,0,1
43,523,2,4,1,1,1
43,643,3,5,1,0,1
43,620,3,6,1,1,1
43,456,4,7,1,0,1
43,442,4,8,1,1,1
43,428,2,3,2,0,1
43,527,2,4,2,1,1
43,470,1,1,2,0,1
43,479,1,2,2,1,1
43,525,3,5,2,0,1
43,494,3,6,2,1,1
43,613,2,3,3,0,1
43,481,2,4,3,1,1
43,547,3,5,3,0,1
43,497,3,6,3,1,1
43,536,4,7,3,0,1
43,418,4,8,3,1,1
43,538,1,1,3,0,1
43,451,1,2,3,1,1
43,517,1,1,4,0,1
43,580,1,2,4,1,1
43,439,4,7,4,0,1
43,523,4,8,4,1,1
43,586,2,3,4,0,1
43,469,2,4,4,1,1
43,723,3,6,4,1,1
43,475,4,7,5,0,1
43,520,3,5,5,0,1
43,671,3,6,5,1,1
43,440,1,1,5,0,1
43,561,1,2,5,1,1
43,559,2,3,5,0,1
43,486,2,4,5,1,1
43,536,2,3,6,0,1
43,469,2,4,6,1,1
43,630,3,5,6,0,1
43,464,3,6,6,1,1
43,458,1,1,6,0,1
43,518,4,7,6,0,1
43,557,4,8,6,1,1
43,474,2,3,7,0,1
43,485,2,4,7,1,1
43,517,4,7,7,0,1
43,435,4,8,7,1,1
43,439,3,6,7,1,1
43,532,4,7,8,0,1
43,451,4,8,8,1,1
43,541,3,5,8,0,1
43,492,3,6,8,1,1
43,534,1,1,8,0,1
43,435,1,2,8,1,1
43,608,2,3,8,0,1
43,554,2,4,8,1,1
43,527,1,1,9,0,1
43,526,1,2,9,1,1
43,501,3,5,9,0,1
43,438,3,6,9,1,1
43,504,4,7,9,0,1
43,471,4,8,9,1,1
43,482,2,3,9,0,1
43,425,2,4,9,1,1
43,565,2,3,10,0,1
43,489,2,4,10,1,1
43,530,4,7,10,0,1
43,466,4,8,10,1,1
43,462,3,6,10,1,1
43,504,1,1,10,0,1
43,464,1,2,10,1,1
43,536,1,2,11,1,1
43,502,4,7,11,0,1
43,539,4,8,11,1,1
43,529,3,5,11,0,1
43,464,3,6,11,1,1
43,650,2,3,11,0,1
43,452,2,4,11,1,1
43,470,1,1,12,0,1
43,558,1,1,13,0,1
43,475,1,2,13,1,1
43,477,2,3,12,0,1
43,509,2,4,12,1,1
43,486,4,7,12,0,1
43,486,4,8,12,1,1
43,495,3,5,12,0,1
43,448,3,6,12,1,1
43,466,4,7,13,0,1
43,459,4,8,13,1,1
43,451,3,5,13,0,1
43,462,3,6,13,1,1
43,455,1,1,14,0,1
43,441,1,2,14,1,1
43,524,2,3,13,0,1
43,490,2,4,13,1,1
43,539,4,7,14,0,1
43,506,4,8,14,1,1
43,514,1,1,15,0,1
43,634,1,2,15,1,1
43,493,3,5,14,0,1
43,509,3,6,14,1,1
43,647,2,3,14,0,1
43,631,2,4,14,1,1
43,499,1,1,16,0,1
43,499,1,2,16,1,1
43,510,3,5,15,0,1
43,422,3,6,15,1,1
43,430,2,3,15,0,1
43,497,2,4,15,1,1
43,507,4,7,15,0,1
43,617,4,8,15,1,1
43,469,4,7,16,0,1
43,407,4,8,16,1,1
43,435,3,5,16,0,1
43,429,3,6,16,1,1
43,528,2,3,16,0,1
43,511,2,4,16,1,1
43,534,1,1,17,0,1
43,668,2,3,17,0,1
43,581,2,4,17,1,1
43,482,1,1,18,0,1
43,542,3,5,17,0,1
43,592,4,7,17,0,1
43,518,4,8,17,1,1
43,493,4,7,18,0,1
43,478,4,8,18,1,1
43,511,3,5,18,0,1
43,471,3,6,18,1,1
43,488,1,1,19,0,1
43,578,2,3,18,0,1
43,519,2,4,18,1,1
43,631,3,6,19,1,1
43,475,2,3,19,0,1
43,621,2,4,19,1,1
43,496,1,1,20,0,1
43,400,1,2,20,1,1
43,532,4,7,19,0,1
43,500,4,8,19,1,1
43,611,3,5,20,0,1
43,487,3,6,20,1,1
43,456,1,1,21,0,1
43,442,1,2,21,1,1
43,523,2,3,20,0,1
43,426,2,4,20,1,1
43,469,4,7,20,0,1
43,511,4,8,20,1,1
43,526,3,5,21,0,1
43,470,3,6,21,1,1
43,487,1,1,22,0,1
43,408,1,2,22,1,1
