subject_id,set_size,block,rt,correct,sequence_type,pair,target_index,target_reps
43,4,1,669,1,1,1,1,1
43,4,1,580,1,2,1,2,1
43,4,1,506,1,1,2,3,1
43,4,1,523,1,2,2,4,1
43,4,1,643,1,1,3,5,1
43,4,1,620,1,2,3,6,1
43,4,1,456,1,1,4,7,1
43,4,1,442,1,2,4,8,1
43,4,1,428,1,1,2,3,2
43,4,1,527,1,2,2,4,2
43,4,1,470,1,1,1,1,2
43,4,1,479,1,2,1,2,2
43,4,1,1153,0,1,4,7,2
43,4,1,127,0,2,4,8,2
43,4,1,525,1,1,3,5,2
43,4,1,494,1,2,3,6,2
43,4,1,613,1,1,2,3,3
43,4,1,481,1,2,2,4,3
43,4,1,547,1,1,3,5,3
43,4,1,497,1,2,3,6,3
43,4,1,536,1,1,4,7,3
43,4,1,418,1,2,4,8,3
43,4,1,538,1,1,1,1,3
43,4,1,451,1,2,1,2,3
43,4,1,517,1,1,1,1,4
43,4,1,580,1,2,1,2,4
43,4,1,439,1,1,4,7,4
43,4,1,523,1,2,4,8,4
43,4,1,586,1,1,2,3,4
43,4,1,469,1,2,2,4,4
43,4,1,401,0,1,3,5,4
43,4,1,723,1,2,3,6,4
43,4,1,475,1,1,4,7,5
43,4,1,437,0,2,4,8,5
43,4,1,520,1,1,3,5,5
43,4,1,671,1,2,3,6,5
43,4,1,440,1,1,1,1,5
43,4,1,561,1,2,1,2,5
43,4,1,559,1,1,2,3,5
43,4,1,486,1,2,2,4,5
43,4,1,536,1,1,2,3,6
43,4,1,469,1,2,2,4,6
43,4,1,630,1,1,3,5,6
43,4,1,464,1,2,3,6,6
43,4,1,458,1,1,1,1,6
43,4,1,517,0,2,1,2,6
43,4,1,518,1,1,4,7,6
43,4,1,557,1,2,4,8,6
43,4,1,474,1,1,2,3,7
43,4,1,485,1,2,2,4,7
43,4,1,517,1,1,4,7,7
43,4,1,435,1,2,4,8,7
43,4,1,439,0,1,3,5,7
43,4,1,439,1,2,3,6,7
43,4,1,442,0,1,1,1,7
43,4,1,508,0,2,1,2,7
43,4,1,532,1,1,4,7,8
43,4,1,451,1,2,4,8,8
43,4,1,541,1,1,3,5,8
43,4,1,492,1,2,3,6,8
43,4,1,534,1,1,1,1,8
43,4,1,435,1,2,1,2,8
43,4,1,608,1,1,2,3,8
43,4,1,554,1,2,2,4,8
43,4,1,527,1,1,1,1,9
43,4,1,526,1,2,1,2,9
43,4,1,501,1,1,3,5,9
43,4,1,438,1,2,3,6,9
43,4,1,504,1,1,4,7,9
43,4,1,471,1,2,4,8,9
43,4,1,482,1,1,2,3,9
43,4,1,425,1,2,2,4,9
43,4,1,565,1,1,2,3,10
43,4,1,489,1,2,2,4,10
43,4,1,530,1,1,4,7,10
43,4,1,466,1,2,4,8,10
43,4,1,419,0,1,3,5,10
43,4,1,462,1,2,3,6,10
43,4,1,504,1,1,1,1,10
43,4,1,464,1,2,1,2,10
43,4,1,419,0,1,1,1,11
43,4,1,536,1,2,1,2,11
43,4,1,502,1,1,4,7,11
43,4,1,539,1,2,4,8,11
43,4,1,529,1,1,3,5,11
43,4,1,464,1,2,3,6,11
43,4,1,650,1,1,2,3,11
43,4,1,452,1,2,2,4,11
43,4,1,470,1,1,1,1,12
43,4,1,496,0,2,1,2,12
43,4,2,558,1,1,1,1,13
43,4,2,475,1,2,1,2,13
43,4,2,477,1,1,2,3,12
43,4,2,509,1,2,2,4,12
43,4,2,486,1,1,4,7,12
43,4,2,486,1,2,4,8,12
43,4,2,495,1,1,3,5,12
43,4,2,448,1,2,3,6,12
43,4,2,466,1,1,4,7,13
43,4,2,459,1,2,4,8,13
43,4,2,451,1,1,3,5,13
43,4,2,462,1,2,3,6,13
43,4,2,455,1,1,1,1,14
43,4,2,441,1,2,1,2,14
43,4,2,524,1,1,2,3,13
43,4,2,490,1,2,2,4,13
43,4,2,539,1,1,4,7,14
43,4,2,506,1,2,4,8,14
43,4,2,514,1,1,1,1,15
43,4,2,634,1,2,1,2,15
43,4,2,493,1,1,3,5,14
43,4,2,509,1,2,3,6,14
43,4,2,647,1,1,2,3,14
43,4,2,631,1,2,2,4,14
43,4,2,499,1,1,1,1,16
43,4,2,499,1,2,1,2,16
43,4,2,510,1,1,3,5,15
43,4,2,422,1,2,3,6,15
43,4,2,430,1,1,2,3,15
43,4,2,497,1,2,2,4,15
43,4,2,507,1,1,4,7,15
43,4,2,617,1,2,4,8,15
43,4,2,469,1,1,4,7,16
43,4,2,407,1,2,4,8,16
43,4,2,435,1,1,3,5,16
43,4,2,429,1,2,3,6,16
43,4,2,528,1,1,2,3,16
43,4,2,511,1,2,2,4,16
43,4,2,534,1,1,1,1,17
43,4,2,541,0,2,1,2,17
43,4,2,668,1,1,2,3,17
43,4,2,581,1,2,2,4,17
43,4,2,482,1,1,1,1,18
43,4,2,419,0,2,1,2,18
43,4,2,542,1,1,3,5,17
43,4,2,587,0,2,3,6,17
43,4,2,592,1,1,4,7,17
43,4,2,518,1,2,4,8,17
43,4,2,493,1,1,4,7,18
43,4,2,478,1,2,4,8,18
43,4,2,511,1,1,3,5,18
43,4,2,471,1,2,3,6,18
43,4,2,488,1,1,1,1,19
43,4,2,448,0,2,1,2,19
43,4,2,578,1,1,2,3,18
43,4,2,519,1,2,2,4,18
43,4,2,446,0,1,3,5,19
43,4,2,631,1,2,3,6,19
43,4,2,475,1,1,2,3,19
43,4,2,621,1,2,2,4,19
43,4,2,496,1,1,1,1,20
43,4,2,400,1,2,1,2,20
43,4,2,532,1,1,4,7,19
43,4,2,500,1,2,4,8,19
43,4,2,611,1,1,3,5,20
43,4,2,487,1,2,3,6,20
43,4,2,456,1,1,1,1,21
43,4,2,442,1,2,1,2,21
43,4,2,523,1,1,2,3,20
43,4,2,426,1,2,2,4,20
43,4,2,469,1,1,4,7,20
43,4,2,511,1,2,4,8,20
43,4,2,526,1,1,3,5,21
43,4,2,470,1,2,3,6,21
43,4,2,487,1,1,1,1,22
43,4,2,408,1,2,1,2,22
43,4,2,476,0,1,2,3,21
43,4,2,536,1,2,2,4,21
43,4,2,516,1,1,4,7,21
43,4,2,499,1,2,4,8,21
43,4,2,483,1,1,2,3,22
43,4,2,444,0,2,2,4,22
43,4,2,527,1,1,1,1,23
43,4,2,558,1,2,1,2,23
43,4,2,515,1,1,4,7,22
43,4,2,660,1,2,4,8,22
43,4,2,502,1,1,3,5,22
43,4,2,476,1,2,3,6,22
43,4,2,518,1,1,1,1,24
43,4,2,502,1,2,1,2,24
43,4,3,751,1,1,1,1,25
43,4,3,520,1,2,1,2,25
43,4,3,486,1,1,2,3,23
43,4,3,655,1,2,2,4,23
43,4,3,481,1,1,4,7,23
43,4,3,465,1,2,4,8,23
43,4,3,514,1,1,3,5,23
43,4,3,442,1,2,3,6,23
43,4,3,661,1,1,3,5,24
43,4,3,552,1,2,3,6,24
43,4,3,517,1,1,2,3,24
43,4,3,590,1,2,2,4,24
43,4,3,466,1,1,1,1,26
43,4,3,443,1,2,1,2,26
43,4,3,445,1,1,4,7,24
43,4,3,464,1,2,4,8,24
43,4,3,610,1,1,3,5,25
43,4,3,438,1,2,3,6,25
43,4,3,424,1,1,2,3,25
43,4,3,555,1,2,2,4,25
43,4,3,482,1,1,1,1,27
43,4,3,419,1,2,1,2,27
43,4,3,421,1,1,4,7,25
43,4,3,456,1,2,4,8,25
43,4,3,522,1,1,3,5,26
43,4,3,481,1,2,3,6,26
43,4,3,481,1,1,1,1,28
43,4,3,531,1,2,1,2,28
43,4,3,426,1,1,2,3,26
43,4,3,445,1,2,2,4,26
43,4,3,455,1,1,4,7,26
43,4,3,464,1,2,4,8,26
43,4,3,473,1,1,3,5,27
43,4,3,604,1,2,3,6,27
43,4,3,455,1,1,1,1,29
43,4,3,434,1,2,1,2,29
43,4,3,452,1,1,2,3,27
43,4,3,541,1,2,2,4,27
43,4,3,436,1,1,4,7,27
43,4,3,518,1,2,4,8,27
43,4,3,566,1,1,3,5,28
43,4,3,503,1,2,3,6,28
43,4,3,548,1,1,4,7,28
43,4,3,482,1,2,4,8,28
43,4,3,435,1,1,1,1,30
43,4,3,654,1,2,1,2,30
43,4,3,606,1,1,2,3,28
43,4,3,602,1,2,2,4,28
43,4,3,407,1,1,4,7,29
43,4,3,603,1,2,4,8,29
43,4,3,503,1,1,3,5,29
43,4,3,453,1,2,3,6,29
43,4,3,481,1,1,2,3,29
43,4,3,488,1,2,2,4,29
43,4,3,537,1,1,1,1,31
43,4,3,560,1,2,1,2,31
43,4,3,551,1,1,1,1,32
43,4,3,492,1,2,1,2,32
43,4,3,525,1,1,4,7,30
43,4,3,491,1,2,4,8,30
43,4,3,531,1,1,3,5,30
43,4,3,459,1,2,3,6,30
43,4,3,547,1,1,2,3,30
43,4,3,523,1,2,2,4,30
43,4,3,545,1,1,2,3,31
43,4,3,464,1,2,2,4,31
43,4,3,458,1,1,1,1,33
43,4,3,644,1,2,1,2,33
43,4,3,478,0,1,3,5,31
43,4,3,502,1,2,3,6,31
43,4,3,559,1,1,4,7,31
43,4,3,525,1,2,4,8,31
43,4,3,714,1,1,3,5,32
43,4,3,417,1,2,3,6,32
43,4,3,508,1,1,4,7,32
43,4,3,453,1,2,4,8,32
43,4,3,478,1,1,1,1,34
43,4,3,497,1,2,1,2,34
43,4,3,497,1,1,2,3,32
43,4,3,425,1,2,2,4,32
43,4,3,530,1,1,2,3,33
43,4,3,490,1,2,2,4,33
43,4,3,491,1,1,1,1,35
43,4,3,475,1,2,1,2,35
43,4,3,1093,1,1,3,5,33
43,4,3,477,1,2,3,6,33
43,4,3,471,1,1,4,7,33
43,4,3,496,1,2,4,8,33
43,4,3,480,1,1,1,1,36
43,4,3,385,1,2,1,2,36
43,4,4,488,1,1,4,7,34
43,4,4,496,1,2,4,8,34
43,4,4,456,1,1,3,5,34
43,4,4,432,1,2,3,6,34
43,4,4,549,1,1,1,1,37
43,4,4,435,1,2,1,2,37
43,4,4,446,1,1,2,3,34
43,4,4,418,0,2,2,4,34
43,4,4,475,0,1,3,5,35
43,4,4,485,1,2,3,6,35
43,4,4,421,1,1,1,1,38
43,4,4,536,1,2,1,2,38
43,4,4,1607,1,1,2,3,35
43,4,4,563,1,2,2,4,35
43,4,4,729,1,1,4,7,35
43,4,4,503,1,2,4,8,35
43,4,4,622,1,1,2,3,36
43,4,4,530,1,2,2,4,36
43,4,4,505,1,1,4,7,36
43,4,4,449,1,2,4,8,36
43,4,4,491,1,1,1,1,39
43,4,4,452,1,2,1,2,39
43,4,4,518,1,1,3,5,36
43,4,4,533,1,2,3,6,36
43,4,4,435,1,1,2,3,37
43,4,4,518,1,2,2,4,37
43,4,4,485,1,1,1,1,40
43,4,4,422,1,2,1,2,40
43,4,4,497,1,1,4,7,37
43,4,4,434,1,2,4,8,37
43,4,4,437,1,1,3,5,37
43,4,4,425,0,2,3,6,37
43,4,4,475,1,1,1,1,41
43,4,4,509,1,2,1,2,41
43,4,4,453,1,1,2,3,38
43,4,4,607,1,2,2,4,38
43,4,4,460,1,1,4,7,38
43,4,4,445,1,2,4,8,38
43,4,4,455,1,1,3,5,38
43,4,4,416,1,2,3,6,38
43,4,4,483,1,1,1,1,42
43,4,4,460,1,2,1,2,42
43,4,4,518,1,1,3,5,39
43,4,4,405,1,2,3,6,39
43,4,4,473,0,1,2,3,39
43,4,4,611,1,2,2,4,39
43,4,4,511,1,1,4,7,39
43,4,4,471,1,2,4,8,39
43,4,4,417,1,1,3,5,40
43,4,4,436,1,2,3,6,40
43,4,4,470,1,1,1,1,43
43,4,4,462,1,2,1,2,43
43,4,4,489,1,1,2,3,40
43,4,4,553,1,2,2,4,40
43,4,4,504,1,1,4,7,40
43,4,4,441,1,2,4,8,40
43,4,4,675,1,1,2,3,41
43,4,4,594,1,2,2,4,41
43,4,4,520,1,1,3,5,41
43,4,4,550,1,2,3,6,41
43,4,4,508,1,1,4,7,41
43,4,4,436,1,2,4,8,41
43,4,4,456,1,1,1,1,44
43,4,4,394,1,2,1,2,44
43,4,4,430,0,1,1,1,45
43,4,4,425,1,2,1,2,45
43,4,4,478,1,1,4,7,42
43,4,4,495,1,2,4,8,42
43,4,4,422,1,1,3,5,42
43,4,4,403,1,2,3,6,42
43,4,4,431,1,1,2,3,42
43,4,4,577,1,2,2,4,42
43,4,4,653,1,1,1,1,46
