subject_id,subject_condition,t,rt,pair_id,target_id,is_predictable
53,2,1,1248,4,1,0
53,2,1,1022,4,2,1
53,2,1,1098,0,3,0
53,2,1,1112,0,4,1
53,2,1,950,5,5,0
53,2,1,1102,5,6,1
53,2,1,1208,3,7,0
53,2,1,2242,3,8,1
53,2,1,887,1,9,0
53,2,1,1309,1,10,1
53,2,1,1136,2,11,0
53,2,1,2387,2,12,1
53,2,2,1686,4,1,0
53,2,2,1179,4,2,1
53,2,2,1140,2,11,0
53,2,2,918,2,12,1
53,2,2,830,5,5,0
53,2,2,706,5,6,1
53,2,2,784,3,7,0
53,2,2,821,3,8,1
53,2,2,824,1,9,0
53,2,2,607,1,10,1
53,2,2,655,0,3,0
53,2,2,623,0,4,1
53,2,3,624,0,3,0
53,2,3,753,0,4,1
53,2,3,689,1,9,0
53,2,3,558,1,10,1
53,2,3,644,3,7,0
53,2,3,528,3,8,1
53,2,3,929,4,1,0
53,2,3,1466,4,2,1
53,2,3,1031,2,11,0
53,2,3,969,2,12,1
53,2,3,975,5,5,0
53,2,3,1269,5,6,1
53,2,4,616,4,1,0
53,2,4,827,4,2,1
53,2,4,696,3,7,0
53,2,4,1448,3,8,1
53,2,4,640,1,9,0
53,2,4,993,1,10,1
53,2,4,588,0,3,0
53,2,4,598,0,4,1
53,2,4,822,2,11,0
53,2,4,775,2,12,1
53,2,4,976,5,5,0
53,2,4,599,5,6,1
53,2,5,595,3,7,0
53,2,5,604,3,8,1
53,2,5,1012,0,3,0
53,2,5,1007,0,4,1
53,2,5,1286,4,1,0
53,2,5,2580,4,2,1
53,2,5,2118,1,9,0
53,2,5,1683,1,10,1
53,2,5,1090,2,11,0
53,2,5,684,2,12,1
53,2,5,799,5,5,0
53,2,5,670,5,6,1
53,2,6,1956,4,1,0
53,2,6,716,4,2,1
53,2,6,724,0,3,0
53,2,6,540,0,4,1
53,2,6,1157,3,7,0
53,2,6,752,3,8,1
53,2,6,764,5,5,0
53,2,6,655,5,6,1
53,2,6,649,2,11,0
53,2,6,690,2,12,1
53,2,7,763,3,7,0
53,2,7,543,3,8,1
53,2,7,664,4,1,0
53,2,7,599,4,2,1
53,2,7,733,0,3,0
53,2,7,996,0,4,1
53,2,7,551,5,5,0
53,2,7,580,5,6,1
53,2,6,775,1,9,0
53,2,6,544,1,10,1
53,2,7,643,2,11,0
53,2,7,897,2,12,1
53,2,8,636,4,1,0
53,2,8,628,4,2,1
53,2,7,931,1,9,0
53,2,7,642,1,10,1
53,2,8,611,2,11,0
53,2,8,646,2,12,1
53,2,8,672,5,5,0
53,2,8,672,5,6,1
53,2,8,630,0,3,0
53,2,8,576,0,4,1
53,2,8,528,3,7,0
53,2,8,928,3,8,1
53,2,9,561,2,11,0
53,2,9,649,2,12,1
53,2,8,536,1,9,0
53,2,8,610,1,10,1
53,2,9,1040,0,3,0
53,2,9,1119,0,4,1
53,2,9,654,3,7,0
53,2,9,733,3,8,1
53,2,9,583,5,5,0
53,2,9,576,5,6,1
53,2,9,590,4,1,0
53,2,9,617,4,2,1
53,2,10,621,5,5,0
53,2,10,613,5,6,1
53,2,10,579,3,7,0
53,2,10,926,3,8,1
53,2,10,567,0,3,0
53,2,10,569,0,4,1
53,2,9,733,1,9,0
53,2,9,640,1,10,1
53,2,10,615,4,1,0
53,2,10,581,4,2,1
53,2,10,560,2,11,0
53,2,10,530,2,12,1
53,2,11,872,4,1,0
