subject_id,subject_condition,t,rt,pair_id,target_id,is_predictable
53,2,1,1248,5,1,0
53,2,1,1022,5,2,1
53,2,1,1098,1,3,0
53,2,1,1112,1,4,1
53,2,1,950,6,5,0
53,2,1,1102,6,6,1
53,2,1,1208,4,7,0
53,2,1,2242,4,8,1
53,2,1,887,2,9,0
53,2,1,1309,2,10,1
53,2,1,1136,3,11,0
53,2,1,2387,3,12,1
53,2,2,1686,5,1,0
53,2,2,1179,5,2,1
53,2,2,1140,3,11,0
53,2,2,918,3,12,1
53,2,2,830,6,5,0
53,2,2,706,6,6,1
53,2,2,784,4,7,0
53,2,2,821,4,8,1
53,2,2,824,2,9,0
53,2,2,607,2,10,1
53,2,2,655,1,3,0
53,2,2,623,1,4,1
53,2,3,624,1,3,0
53,2,3,753,1,4,1
53,2,3,689,2,9,0
53,2,3,558,2,10,1
53,2,3,644,4,7,0
53,2,3,528,4,8,1
53,2,3,929,5,1,0
53,2,3,1466,5,2,1
53,2,3,1031,3,11,0
53,2,3,969,3,12,1
53,2,3,975,6,5,0
53,2,3,1269,6,6,1
53,2,4,616,5,1,0
53,2,4,827,5,2,1
53,2,4,696,4,7,0
53,2,4,1448,4,8,1
53,2,4,640,2,9,0
53,2,4,993,2,10,1
53,2,4,588,1,3,0
53,2,4,598,1,4,1
53,2,4,822,3,11,0
53,2,4,775,3,12,1
53,2,4,976,6,5,0
53,2,4,599,6,6,1
53,2,5,595,4,7,0
53,2,5,604,4,8,1
53,2,5,1012,1,3,0
53,2,5,1007,1,4,1
53,2,5,1286,5,1,0
53,2,5,2580,5,2,1
53,2,5,2118,2,9,0
53,2,5,1683,2,10,1
53,2,5,1090,3,11,0
53,2,5,684,3,12,1
53,2,5,799,6,5,0
53,2,5,670,6,6,1
53,2,6,1956,5,1,0
53,2,6,716,5,2,1
53,2,6,724,1,3,0
53,2,6,540,1,4,1
53,2,6,1157,4,7,0
53,2,6,752,4,8,1
53,2,6,764,6,5,0
53,2,6,655,6,6,1
53,2,6,649,3,11,0
53,2,6,690,3,12,1
53,2,7,763,4,7,0
